level,check,message,clone,day
INFO,feed_volume_pattern,"FunctionMax mL decreases over time; likely interval feed volumes, not cumulative",High01,
INFO,feed_volume_pattern,"CellBoost 7A mL decreases over time; likely interval feed volumes, not cumulative",High01,
INFO,feed_volume_pattern,"CellBoost 7B mL decreases over time; likely interval feed volumes, not cumulative",High01,
INFO,feed_volume_pattern,"FunctionMax mL decreases over time; likely interval feed volumes, not cumulative",High02,
INFO,feed_volume_pattern,"CellBoost 7A mL decreases over time; likely interval feed volumes, not cumulative",High02,
INFO,feed_volume_pattern,"CellBoost 7B mL decreases over time; likely interval feed volumes, not cumulative",High02,
INFO,feed_volume_pattern,"FunctionMax mL decreases over time; likely interval feed volumes, not cumulative",High03,
INFO,feed_volume_pattern,"CellBoost 7A mL decreases over time; likely interval feed volumes, not cumulative",High03,
INFO,feed_volume_pattern,"CellBoost 7B mL decreases over time; likely interval feed volumes, not cumulative",High03,
INFO,feed_volume_pattern,"FunctionMax mL decreases over time; likely interval feed volumes, not cumulative",Low01,
INFO,feed_volume_pattern,"CellBoost 7A mL decreases over time; likely interval feed volumes, not cumulative",Low01,
INFO,feed_volume_pattern,"CellBoost 7B mL decreases over time; likely interval feed volumes, not cumulative",Low01,
INFO,feed_volume_pattern,"FunctionMax mL decreases over time; likely interval feed volumes, not cumulative",Low02,
INFO,feed_volume_pattern,"CellBoost 7A mL decreases over time; likely interval feed volumes, not cumulative",Low02,
INFO,feed_volume_pattern,"CellBoost 7B mL decreases over time; likely interval feed volumes, not cumulative",Low02,
INFO,feed_volume_pattern,"FunctionMax mL decreases over time; likely interval feed volumes, not cumulative",Low03,
INFO,feed_volume_pattern,"CellBoost 7A mL decreases over time; likely interval feed volumes, not cumulative",Low03,
INFO,feed_volume_pattern,"CellBoost 7B mL decreases over time; likely interval feed volumes, not cumulative",Low03,
INFO,feed_volume_pattern,"FunctionMax mL decreases over time; likely interval feed volumes, not cumulative",Mother01,
INFO,feed_volume_pattern,"CellBoost 7A mL decreases over time; likely interval feed volumes, not cumulative",Mother01,
INFO,feed_volume_pattern,"CellBoost 7B mL decreases over time; likely interval feed volumes, not cumulative",Mother01,
INFO,feed_volume_pattern,"FunctionMax mL decreases over time; likely interval feed volumes, not cumulative",Mother02,
INFO,feed_volume_pattern,"CellBoost 7A mL decreases over time; likely interval feed volumes, not cumulative",Mother02,
INFO,feed_volume_pattern,"CellBoost 7B mL decreases over time; likely interval feed volumes, not cumulative",Mother02,
INFO,feed_volume_pattern,"FunctionMax mL decreases over time; likely interval feed volumes, not cumulative",Mother03,
INFO,feed_volume_pattern,"CellBoost 7A mL decreases over time; likely interval feed volumes, not cumulative",Mother03,
INFO,feed_volume_pattern,"CellBoost 7B mL decreases over time; likely interval feed volumes, not cumulative",Mother03,
