analysis_type,clone,objective,production_rxn,obj,predicted_capacity,fba_max_capacity_diagnostic,production_flux,measured_igg_rate,uses_igg_as_input,mode,status,n_constraints,igG_day14,biomass_capacity,biomass_lb,biomass_status,group,resource_limited_igg_proxy,aa_support_median_proxy,aa_support_mean_proxy,aa_total_uptake,essential_aa_total_uptake,aa_bottleneck_metabolite,glucose_uptake_capacity,lactate_exchange_rate,lac_glc_ratio_feature,carbon_efficiency_proxy,product_requirement_source,product_aa_requirement_total,resource_proxy_note,strict_obj,strict_capacity,demand_scale,scaled_igg_demand,capacity_utilization,pfba_total_flux,secondary_obj
explanation,High03,fixed_measured_qIgG_pFBA,DM_igg_g,0.00045045045045045035,,,0.00045045045045045035,0.0026458339375621813,True,measured_scaled_demand_pfba,optimal,23,19000,0.0,0.0,not_used,High,,,,,,,,,,,,,,0.0005005005005005003,0.0005005005005005003,0.17024895026688122,0.00045045045045045035,0.9000000000000002,20.727607685488746,20.727607685488746
explanation,High02,fixed_measured_qIgG_pFBA,DM_igg_g,0.0004303284475698267,,,0.0004303284475698267,0.0025276422961507043,True,measured_scaled_demand_pfba,optimal,23,16500,0.0,0.0,not_used,High,,,,,,,,,,,,,,0.0005005005005005003,0.0005005005005005003,0.17024895026688122,0.0004303284475698267,0.8597962382445141,19.688282718448633,19.688282718448633
explanation,High01,fixed_measured_qIgG_pFBA,DM_igg_g,0.0004132519218726113,,,0.0004132519218726113,0.002427339030430438,True,measured_scaled_demand_pfba,optimal,23,14000,0.0,0.0,not_used,High,,,,,,,,,,,,,,0.0005005005005005013,0.0005005005005005013,0.17024895026688122,0.0004132519218726113,0.8256773399014761,18.88879859210173,18.88879859210173
explanation,Mother03,fixed_measured_qIgG_pFBA,DM_igg_g,0.0002941721282676759,,,0.0002941721282676759,0.001727893933011237,True,measured_scaled_demand_pfba,optimal,23,11500,0.0,0.0,not_used,Mid,,,,,,,,,,,,,,0.0005005005005005006,0.0005005005005005006,0.17024895026688122,0.0002941721282676759,0.5877559122788163,13.20406861490033,13.20406861490033
explanation,Mother02,fixed_measured_qIgG_pFBA,DM_igg_g,0.00026714533444142414,,,0.00026714533444142414,0.0015691452665208727,True,measured_scaled_demand_pfba,optimal,22,9800,0.0,0.0,not_used,Mid,,,,,,,,,,,,,,0.0005005005005005005,0.0005005005005005005,0.17024895026688122,0.00026714533444142414,0.5337563782139655,11.951059764383714,11.951059764383714
explanation,Mother01,fixed_measured_qIgG_pFBA,DM_igg_g,0.00023544170286150798,,,0.00023544170286150798,0.0013829260180014678,True,measured_scaled_demand_pfba,optimal,23,8000,0.0,0.0,not_used,Mid,,,,,,,,,,,,,,0.0005005005005005005,0.0005005005005005005,0.17024895026688122,0.00023544170286150798,0.47041252231729297,10.468324881035027,10.468324881035027
explanation,Low03,fixed_measured_qIgG_pFBA,DM_igg_g,0.00017772472667436685,,,0.00017772472667436685,0.0010439108517013857,True,measured_scaled_demand_pfba,optimal,23,6200,0.0,0.0,not_used,Low,,,,,,,,,,,,,,0.0005005005005005005,0.0005005005005005005,0.17024895026688122,0.00017772472667436685,0.355094003895385,7.87766187955919,7.87766187955919
explanation,Low02,fixed_measured_qIgG_pFBA,DM_igg_g,0.00014693678148211444,,,0.00014693678148211444,0.0008630701173298116,True,measured_scaled_demand_pfba,optimal,23,4800,0.0,0.0,not_used,Low,,,,,,,,,,,,,,0.0005005005005005006,0.0005005005005005006,0.17024895026688122,0.00014693678148211444,0.2935796894012646,6.513686918487733,6.513686918487733
explanation,Low01,fixed_measured_qIgG_pFBA,DM_igg_g,0.00013315896945154218,,,0.00013315896945154218,0.0007821426754338455,True,measured_scaled_demand_pfba,optimal,23,3500,0.0,0.0,not_used,Low,,,,,,,,,,,,,,0.0005005005005005006,0.0005005005005005006,0.17024895026688122,0.00013315896945154218,0.2660516209641812,5.924476140765032,5.924476140765032
prediction,High03,DM_igg_g,DM_igg_g,0.0005005005005005003,0.0005005005005005003,0.0005005005005005003,0.0005005005005005003,0.0026458339375621813,False,prediction_diagnostic_no_igg_input,optimal,23,19000,0.0,0.0,not_used,High,7.692307692307599e-05,0.0022542582631806026,0.003374999314991934,3.5205776302520086,1.9567411531388474,ala_L_c,1.1400000000000001,-0.216,-0.1894736842105263,1.1400000000000001,generic_iCHO3K_igg_hc_lc,1328.0,No measured IgG used. ML-ready feature only; not a stand-alone validated prediction.,,,,,,,
